file_name,precision,recall,f1,hom,com,vm,ARI
add_relation_5clusters_index1,0.35398,0.43570,0.39061,0.37003,0.48233,0.41878,0.23730
hierarchical_cluster_15clusters_averagelinkage,0.33394,0.43263,0.37693,0.33167,0.44242,0.37912,0.19346
"re_span_little2_2,4,6,10,16,100clusters_index1",0.33691,0.41761,0.37294,0.34673,0.45273,0.39271,0.24332
lr_only_type_12clusters_0add_words_1e-05lr,0.26430,0.31695,0.28824,0.25674,0.33210,0.28960,0.13699
add_relation_4clusters_index2,0.35478,0.43354,0.39022,0.36743,0.47369,0.41385,0.23302
avg_feat_15clusters_3add_words_0.02temp,0.28595,0.32268,0.30320,0.27122,0.34963,0.30547,0.15925
only_type_12clusters_0add_words_0.5temp,0.26129,0.30501,0.28147,0.23315,0.30316,0.26359,0.14651
NR_add_15clusters_index1,0.33290,0.39893,0.36293,0.35185,0.45634,0.39734,0.21668
"add_relation2_10,16,30clusters_index1",0.33683,0.40697,0.36860,0.34653,0.45005,0.39156,0.19139
only_type_12clusters_0add_words_0.2temp,0.25407,0.30341,0.27656,0.23279,0.30440,0.26383,0.12349
lr_only_type_12clusters_0add_words_1e-06lr,0.27436,0.30864,0.29049,0.24532,0.31987,0.27768,0.15244
only_type_12clusters_0add_words_0.05temp,0.26206,0.33645,0.29463,0.25207,0.33224,0.28665,0.15504
"re_span_little2_6,10,16,100clusters_index1",0.35643,0.41641,0.38410,0.36294,0.46781,0.40876,0.22725
only_type_12clusters_0add_words_0.01temp,0.26544,0.31983,0.29011,0.25793,0.33602,0.29184,0.14059
add_relation_4clusters_index1,0.33936,0.41719,0.37427,0.35391,0.45962,0.39990,0.24034
my_train_15clusters_3add_words_3epochs,0.32211,0.42483,0.36641,0.32874,0.43244,0.37352,0.21234
train_13clusters_10epochs,0.31328,0.41886,0.35845,0.32678,0.42727,0.37033,0.22175
my_train_3clusters_3add_words_1.0temp,0.24933,0.32366,0.28167,0.23967,0.30929,0.27006,0.12769
re_span_and_hie_cluster_3clusters_index1,0.32341,0.45167,0.37693,0.33267,0.43666,0.37764,0.26630
NR_add_3add_words_index0_temp0.2,0.25568,0.41790,0.31726,0.33693,0.43435,0.37949,0.16070
"add_relation2_10,16,30clusters_index2",0.36039,0.43844,0.39560,0.36980,0.47822,0.41708,0.26950
train_16clusters_3add_words_8epochs,0.33611,0.42947,0.37710,0.34470,0.44860,0.38985,0.24572
add_relation_7clusters_index2,0.34711,0.42197,0.38090,0.35684,0.45983,0.40184,0.24323
hierarchical_cluster_3clusters_3add_words,0.26708,0.35603,0.30521,0.25151,0.34011,0.28917,0.13928
my_train_3clusters_3add_words_0.05temp,0.32186,0.38275,0.34968,0.32237,0.41819,0.36408,0.20705
train_15clusters_3add_words_10epochs,0.35493,0.47336,0.40568,0.35503,0.47779,0.40736,0.25097
re_span_and_hie_cluster2_clusters10_index1,0.32567,0.41928,0.36659,0.33542,0.44661,0.38311,0.20087
re_span_hie_cluster_3clusters_index1,0.31389,0.41958,0.35912,0.32607,0.42655,0.36960,0.20413
hierarchical_cluster_15clusters_singlelinkage,0.32410,0.41846,0.36528,0.32389,0.42838,0.36888,0.18624
"add_relation2_10,50,100clusters_index1",0.34916,0.44871,0.39272,0.36705,0.48176,0.41665,0.26835
"add_relation2_10,16,100clusters_index1",0.36333,0.44561,0.40029,0.38775,0.49789,0.43597,0.22269
"re_span_little2_4,6,10clusters_index1",0.35486,0.44340,0.39422,0.35912,0.46789,0.40635,0.28114
add_relation_2clusters_index1,0.36021,0.46225,0.40490,0.37702,0.49215,0.42696,0.28608
