file_name,precision,recall,f1,hom,com,vm,ARI
fixed_15clusters_3add_words_index1_temp0.002,0.32740,0.40857,0.36351,0.33027,0.42855,0.37305,0.22408
hierarchical_cluster_15clusters_averagelinkage,0.33394,0.43263,0.37693,0.33167,0.44242,0.37912,0.19346
fixed_15clusters_3add_words_index5_temp0.2,0.30928,0.40822,0.35193,0.32718,0.42301,0.36898,0.22680
lr_only_type_12clusters_0add_words_1e-05lr,0.26430,0.31695,0.28824,0.25674,0.33210,0.28960,0.13699
avg_feat_15clusters_3add_words_0.02temp,0.28595,0.32268,0.30320,0.27122,0.34963,0.30547,0.15925
fixed_15clusters_3add_words_index1_temp0.02,0.30229,0.37332,0.33407,0.29574,0.38697,0.33526,0.18598
only_type_12clusters_0add_words_0.5temp,0.26129,0.30501,0.28147,0.23315,0.30316,0.26359,0.14651
fixed_15clusters_5add_words,0.30874,0.39819,0.34780,0.31691,0.41123,0.35796,0.19926
TACRED_without_NR_3add_words_index1_temp0.2,0.12708,0.23252,0.16434,0.14987,0.20258,0.17228,0.03923
fixed_15clusters_4add_words,0.33339,0.42208,0.37253,0.34564,0.44676,0.38975,0.24444
fixed_15clusters_3add_words_index3_temp0.02,0.30512,0.38848,0.34179,0.32111,0.41343,0.36147,0.20423
fixed_15clusters_3add_words_index4_temp0.2,0.32839,0.43205,0.37316,0.34066,0.44469,0.38578,0.23148
only_type_12clusters_0add_words_0.2temp,0.25407,0.30341,0.27656,0.23279,0.30440,0.26383,0.12349
lr_only_type_12clusters_0add_words_1e-06lr,0.27436,0.30864,0.29049,0.24532,0.31987,0.27768,0.15244
only_type_12clusters_0add_words_0.05temp,0.26206,0.33645,0.29463,0.25207,0.33224,0.28665,0.15504
fixed_15clusters_3add_words_index6_temp0.02,0.29721,0.36659,0.32827,0.31265,0.40210,0.35178,0.17907
only_type_12clusters_0add_words_0.01temp,0.26544,0.31983,0.29011,0.25793,0.33602,0.29184,0.14059
my_train_15clusters_3add_words_3epochs,0.32211,0.42483,0.36641,0.32874,0.43244,0.37352,0.21234
train_13clusters_10epochs,0.31328,0.41886,0.35845,0.32678,0.42727,0.37033,0.22175
fixed_15clusters_3add_words_index1_temp0.2,0.32258,0.42220,0.36573,0.34018,0.44298,0.38483,0.22110
TACRED_without_NR_3add_words_index3_temp0.002,0.18110,0.25984,0.21344,0.18941,0.25332,0.21675,0.09913
my_train_3clusters_3add_words_1.0temp,0.24933,0.32366,0.28167,0.23967,0.30929,0.27006,0.12769
fixed_15clusters_3add_words_index3_temp0.002,0.30989,0.40213,0.35004,0.32012,0.41535,0.36157,0.17171
train_16clusters_3add_words_8epochs,0.33611,0.42947,0.37710,0.34470,0.44860,0.38985,0.24572
hierarchical_cluster_3clusters_3add_words,0.26708,0.35603,0.30521,0.25151,0.34011,0.28917,0.13928
fixed_15clusters_3add_words_index4_temp0.02,0.32478,0.40581,0.36080,0.32221,0.42374,0.36607,0.20609
my_train_3clusters_3add_words_0.05temp,0.32186,0.38275,0.34968,0.32237,0.41819,0.36408,0.20705
train_15clusters_3add_words_10epochs,0.35493,0.47336,0.40568,0.35503,0.47779,0.40736,0.25097
hierarchical_cluster_15clusters_singlelinkage,0.32410,0.41846,0.36528,0.32389,0.42838,0.36888,0.18624
TACRED_3add_words_index2_temp0.02,0.65818,0.14464,0.23717,0.01022,0.00511,0.00681,0.01859
TACRED_without_NR_3add_words_index3_temp0.02,0.13679,0.22458,0.17002,0.16890,0.22336,0.19235,0.05906
agg_cluster_9clusters_3add_words_0.02temp,0.22283,0.36692,0.27728,0.28490,0.37379,0.32335,0.08598
fixed_15clusters_3add_words,0.31359,0.38519,0.34573,0.32219,0.41501,0.36276,0.19988
TACRED_3add_words_index1_temp0.2,0.65782,0.14122,0.23252,0.00947,0.00467,0.00626,0.01704
TACRED_3add_words_index1_temp0.02,0.66900,0.13243,0.22110,0.10022,0.04699,0.06398,0.00494
my_train_3clusters_3add_words_0.2temp,0.24398,0.32205,0.27763,0.21910,0.29314,0.25077,0.08976
train_12clusters_10epochs,0.33626,0.42911,0.37706,0.33498,0.44027,0.38047,0.20521
TACRED_without_NR_3add_words_index3_temp0.2,0.12650,0.21811,0.16013,0.15705,0.20713,0.17865,0.05205
lr_only_type_12clusters_0add_words_2.5e-06lr,0.26957,0.33306,0.29797,0.25492,0.33249,0.28858,0.16881
lr_only_type_12clusters_0add_words_5e-06lr,0.27093,0.32139,0.29401,0.27051,0.34633,0.30376,0.14755
agg_cluster_3clusters_3add_words,0.21116,0.36230,0.26681,0.27282,0.36230,0.31125,0.08922
fixed_15clusters_3add_words_index2_temp0.002,0.31853,0.39345,0.35205,0.32163,0.41645,0.36295,0.18707
train_14clusters_10epochs,0.32110,0.41904,0.36359,0.33226,0.43121,0.37532,0.22054
train_15clusters_6add_words_6epochs,0.31351,0.42454,0.36068,0.32360,0.42646,0.36797,0.19654
train_16clusters_3add_words_10epochs,0.35378,0.45257,0.39712,0.35476,0.46824,0.40367,0.22901
train_18clusters_10epochs,0.34016,0.42508,0.37791,0.33425,0.43797,0.37915,0.22662
train_15clusters_1add_words_6epochs,0.30877,0.39554,0.34681,0.32395,0.42247,0.36671,0.17295
fixed_15clusters_3add_words_index6_temp0.002,0.31723,0.41465,0.35946,0.33601,0.43368,0.37865,0.21116
batch_train_3clusters_3add_words_0.01temp,0.30727,0.40395,0.34903,0.30441,0.40137,0.34623,0.22650
fixed_15clusters_3add_words_index6_temp0.2,0.31073,0.41160,0.35412,0.32858,0.42593,0.37097,0.22434
fixed_15clusters_3add_words_index4_temp0.002,0.31556,0.40012,0.35284,0.32429,0.41768,0.36511,0.19653
my_train_3clusters_3add_words_0.1temp,0.29544,0.37240,0.32949,0.28368,0.37378,0.32256,0.20171
train_16clusters_10epochs,0.32610,0.43697,0.37348,0.34631,0.45125,0.39187,0.21594
TACRED_without_NR_3add_words_index1_temp0.02,0.15628,0.24516,0.19088,0.18574,0.24482,0.21122,0.07760
TACRED_without_NR_3add_words_index2_temp0.02,0.15103,0.23432,0.18368,0.17979,0.23664,0.20433,0.07746
fixed_15clusters_7add_words,0.28702,0.36147,0.31997,0.30380,0.38887,0.34111,0.17112
fixed_15clusters_1add_words,0.30365,0.36878,0.33306,0.30931,0.39834,0.34822,0.19943
batch_train_3clusters_3add_words_0.02temp,0.32223,0.40900,0.36047,0.33616,0.43623,0.37971,0.21667
only_type_15clusters_3add_words_0.02temp,0.28136,0.33713,0.30673,0.27653,0.35702,0.31166,0.17186
lr_only_type_12clusters_0add_words_7.5e-06lr,0.26001,0.31415,0.28453,0.25012,0.32382,0.28224,0.13165
batch_train_3clusters_3add_words_0.04temp,0.30783,0.37325,0.33740,0.30953,0.39945,0.34879,0.20306
fixed_15clusters_6add_words,0.31456,0.39759,0.35124,0.31160,0.40924,0.35381,0.17327
fixed_15clusters_3add_words_index5_temp0.02,0.32971,0.40899,0.36509,0.32856,0.43144,0.37304,0.19557
batch_train_3clusters_3add_words_0.03temp,0.29932,0.37678,0.33361,0.29882,0.39310,0.33954,0.19940
TACRED_without_NR_3add_words_index2_temp0.2,0.12563,0.21544,0.15871,0.15287,0.20254,0.17424,0.05208
fixed_15clusters_3add_words_index5_temp0.002,0.32586,0.41634,0.36559,0.33010,0.43010,0.37352,0.22098
batch_train_3clusters_3add_words_0.05temp,0.32237,0.36210,0.34108,0.32334,0.41525,0.36357,0.20242
TACRED_without_NR_3add_words_index2_temp0.002,0.19100,0.29606,0.23220,0.25171,0.33372,0.28697,0.11706
fixed_15clusters_3add_words_index2_temp0.2,0.32562,0.42367,0.36823,0.33541,0.43763,0.37976,0.22265
fixed_15clusters_3add_words_index2_temp0.02,0.32588,0.40426,0.36086,0.32228,0.42431,0.36632,0.20341
fixed_15clusters_3add_words_index3_temp0.2,0.31946,0.42087,0.36322,0.32277,0.42564,0.36713,0.20191
only_type_12clusters_0add_words_0.03temp,0.26702,0.33883,0.29867,0.25686,0.33777,0.29181,0.15897
only_type_12clusters_0add_words_0.04temp,0.26114,0.33493,0.29347,0.25131,0.33090,0.28567,0.15376
only_type_12clusters_0add_words_0.1temp,0.25952,0.32362,0.28805,0.24853,0.32620,0.28211,0.13567
TACRED_3add_words_index1_temp0.002,0.65812,0.16033,0.25785,0.01001,0.00516,0.00681,0.02073
compare_3clusters_1add_words_3epochs,0.30891,0.40136,0.34912,0.32511,0.42104,0.36691,0.20749
TACRED_without_NR_3add_words_index1_temp0.002,0.16957,0.27586,0.21003,0.21229,0.28193,0.24220,0.09207
fixed_15clusters_2add_words,0.30983,0.38257,0.34238,0.31907,0.41157,0.35947,0.21013
train_3clusters_2add_words_3epochs,0.31628,0.41258,0.35807,0.31384,0.41743,0.35830,0.21064
hierarchical_cluster_15clusters_completelinkage,0.32041,0.41797,0.36274,0.32273,0.42696,0.36760,0.20861
only_type_12clusters_0add_words_1.0temp,0.25313,0.29604,0.27291,0.23164,0.30420,0.26301,0.11676
